Title,Description,Resource Class,Publication State,Website Platform,Endpoint URL,Endpoint Description,Is Harvested,Last Harvested,Accrual Method,Accrual Periodicity,Harvest Workflow,Access Rights,Suppressed Record,ID,Identifier,Code,Tags,Admin Note,Due Date,Due Status,Days Until Due,Website Title,Website Alternative Title,Website Description,Website Display Note,Website Creator,Website Creator ID,Website Publisher,Website Provider,Website Resource Class,Website Resource Type,Website Subject,Website Theme,Website Keyword,Website Language,Website B1G Language,Website Local Collection,Website Temporal Coverage,Website Date Issued,Website Index Year,Website Date Range,Website Spatial Coverage,Website Bounding Box,Website Geometry,Website Centroid,Website GeoNames,Website Coordinate Reference System,Website Spatial Resolution in Meters,Website Spatial Resolution as Text,Website Georeferenced,Website Provenance,Website Publication State,Website Website Platform,Website Endpoint URL,Website Endpoint Description,Website Is Harvested,Website Last Harvested,Website Accrual Method,Website Accrual Periodicity,Website Harvest Workflow,Website Created At,Website Updated At,Website Date Accessioned,Website Date Retired,Website Format,Website File Size,Website B1G Image,Website Member Of,Website Is Part Of,Website Source,Website Is Version Of,Website Replaces,Website Is Replaced By,Website Relation,Website Rights,Website License,Website Rights Holder,Website Access Rights,Website Suppressed Record,Website Deprioritized,Website Mediator,Website Access,Website ID,Website Identifier,Website WxS Identifier,Website Code,Website Tags,Website Admin Note,Effective Harvest Workflow,Website Match Count
Harvest record for Wisconsin Rapids Online Map Portal,Harvest record - temporary,Series,draft,ArcGIS Hub,https://rapidsdata-wisconsinrapids.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,harvest_10c-04,10c-04,10c-04,,,2026-03-29,Overdue,-1,Wisconsin Rapids Online Map Portal,,"ArcGIS Hub site for finding and accessing open data provided by the city of Wisconsin Rapids, Wisconsin",,,,Wisconsin--Wisconsin Rapids,,Websites,Data portals,Municipal government records,,,eng,,,Continually updated resource,,,,Wisconsin--Wisconsin Rapids|Wisconsin,"-89.873,44.349,-89.746,44.427","POLYGON((-89.873 44.427, -89.746 44.427, -89.746 44.349, -89.873 44.349, -89.873 44.427))","44.388,-89.8095",,,,,,,published,ArcGIS Hub,https://rapidsdata-wisconsinrapids.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,2025-08-09 22:41:06 -0500,2026-03-29 18:24:08 -0500,,,,,,ba5cc745-21c5-4ae9-954b-72dd8db6815a,,,,,,,,,,Public,,,,,10c-04,https://rapidsdata-wisconsinrapids.opendata.arcgis.com,,10c-04,,,py_arcgis_hub,1
Harvest record for Wood County Open Data Portal,Harvest record - temporary,Series,draft,ArcGIS Hub,https://opendata.woodcogis.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,harvest_10b-55141,10b-55141,10b-55141,,,2026-03-29,Overdue,-1,Wood County Open Data Portal,,"ArcGIS Hub site for finding and accessing open data provided by Wood County, Wisconsin",,,,Wisconsin--Wood County,,Websites,Data portals,County government records,,,eng,,,Continually updated resource,,,,Wisconsin--Wood County|Wisconsin,"-89.598,43.982,-88.886,44.246","POLYGON((-89.598 44.246, -88.886 44.246, -88.886 43.982, -89.598 43.982, -89.598 44.246))","44.114000000000004,-89.24199999999999",,,,,,,published,ArcGIS Hub,https://opendata.woodcogis.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,2025-08-09 22:41:06 -0500,2026-03-29 18:23:31 -0500,,,,,,ba5cc745-21c5-4ae9-954b-72dd8db6815a,,,,,,,,,,Public,,,,,10b-55141,https://opendata.woodcogis.com,,10b-55141,,,py_arcgis_hub,1
"Harvest record for Yakima County, WA - Open Data",Harvest record - temporary,Series,draft,ArcGIS Hub,https://gis-yakimacounty.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,harvest_16b-53077,16b-53077,16b-53077,,,2026-03-29,Overdue,-1,"Yakima County, WA - Open Data",,"ArcGIS Hub site for finding and accessing open data provided by Yakima County, Washington",,,,Washington (State)--Yakima County,,Websites,Data portals,County government records,,,eng,,,Continually updated resource,,,,Washington (State)--Yakima County|Washington (State),"-121.520,46.040,-119.870,47.090","POLYGON((-120.33 46.04, -121.52 46.04, -121.52 46.39, -121.39 46.39, -121.39 46.41, -121.44 46.48, -121.42 46.49, -121.46 46.52, -121.45 46.53, -121.42 46.55, -121.42 46.57, -121.39 46.62, -121.4 46.65, -121.42 46.65, -121.41 46.68, -121.35 46.71, -121.43 46.74, -121.42 46.76, -121.46 46.78, -121.44 46.79, -121.5 46.86, -121.52 46.87, -121.5 46.91, -121.46 46.92, -121.45 46.98, -121.41 47, -121.4 47.03, -121.37 47.06, -121.38 47.08, -121.36 47.07, -121.28 47.09, -121.22 47.07, -121.09 46.99, -121.09 46.97, -121.03 46.91, -120.63 46.91, -120.63 46.83, -120.51 46.82, -120.51 46.74, -119.97 46.74, -119.94 46.67, -119.87 46.63, -119.87 46.04, -120.33 46.04))","46.565,-120.695",,,,,,,published,ArcGIS Hub,https://gis-yakimacounty.opendata.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-28,Automated retrieval,Weekly,py_arcgis_hub,2025-08-09 22:41:06 -0500,2026-03-29 15:13:48 -0500,,,,,,ba5cc745-21c5-4ae9-954b-72dd8db6815a,,,,,,,,,,Public,,,,,16b-53077,https://gis-yakimacounty.opendata.arcgis.com,,16b-53077,,,py_arcgis_hub,1
Harvest record for Yellow Medicine County Hub,Harvest record - temporary,Series,draft,ArcGIS Hub,https://hub-yellowmedicine.hub.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,harvest_05b-27173,05b-27173,05b-27173,,,2026-03-29,Overdue,-1,Yellow Medicine County Hub,,"ArcGIS Hub site for finding and accessing open data provided by Yellow Medicine County, Minnesota",,,,Minnesota--Yellow Medicine County,,Websites,Data portals,County government records,,,eng,,,Continually updated resource,,,,Minnesota--Yellow Medicine County|Minnesota,"-96.452,44.542,-95.360,44.936","POLYGON((-96.452 44.936, -95.360 44.936, -95.360 44.542, -96.452 44.542, -96.452 44.936))","44.739000000000004,-95.906",,,,,,,published,ArcGIS Hub,https://hub-yellowmedicine.hub.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-28,Automated retrieval,Weekly,py_arcgis_hub,2025-08-09 22:41:06 -0500,2026-03-29 15:13:48 -0500,,,,,,ba5cc745-21c5-4ae9-954b-72dd8db6815a,,,,,,,,,,Public,,,,,05b-27173,https://hub-yellowmedicine.hub.arcgis.com,,05b-27173,,,py_arcgis_hub,1
"Harvest record for York County, PA GIS Open Data Portal",Harvest record - temporary,Series,draft,ArcGIS Hub,https://york-county-pa-gis-portal-yorkcountypa.hub.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,Public,true,harvest_08b-42133,08b-42133,08b-42133,,,2026-03-29,Overdue,-1,"York County, PA GIS Open Data Portal",,"ArcGIS Hub site for finding and accessing open data provided by York County, Pennsylvania",,,,Pennsylvania--York County,,Websites,Data portals,County government records,,,eng,,,Continually updated resource,,,,Pennsylvania--York County|Pennsylvania,"-77.137,39.720,-76.239,40.226","POLYGON((-77.137 40.226, -76.239 40.226, -76.239 39.720, -77.137 39.720, -77.137 40.226))","39.973,-76.688",,,,,,,published,ArcGIS Hub,https://york-county-pa-gis-portal-yorkcountypa.hub.arcgis.com/api/feed/dcat-us/1.1.json,DCAT API,true,2026-03-22,Automated retrieval,Weekly,py_arcgis_hub,2025-08-09 22:41:06 -0500,2026-03-29 17:47:55 -0500,,,,,,ba5cc745-21c5-4ae9-954b-72dd8db6815a,,,,,,,,,,Public,,,,,08b-42133,https://york-county-pa-gis-portal-yorkcountypa.hub.arcgis.com,,08b-42133,,,py_arcgis_hub,1
Harvest record for standalone resources,"A grouping for one off datasets, maps or other resources that are not part of a group submission",Series,draft,,,,true,,Manual curation,Annual,template_children,Public,true,harvest_standalone_resources,,r00_01,,,2026-03-30,Due Today,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,template_children,0
Harvest record for standalone websites,"A grouping of websites that provide geospatial data or services but are not currently indexed for individual dataset records. These resources are monitored periodically to verify availability, detect platform or URL changes, and identify opportunities for future harvesting (e.g., migration to ArcGIS Hub or other harvestable platforms).",Series,draft,,,,true,,Manual curation,Annual,template_website,Public,true,harvest_standalone_websites,,w00_01,,,2026-03-30,Due Today,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,template_website,0
Harvest record for Minnesota Geospatial Commons,Harvest record - temporary,Series,draft,CKAN,https://gisdata.mn.gov/api/3/action/package_search,CKAN API,true,2026-03-16,Automated retrieval,Monthly,py_mncommons_ckan,Public,true,harvest_05a-01_ckan,05a-01,05a-01,,,2026-04-16,Upcoming,17,Minnesota Geospatial Commons,,"The Minnesota Geospatial Commons is a collaborative space for users and publishers of Minnesota's geospatial resources. The Commons is used by researchers, cartographers, web and application developers, journalists, planners, and other citizens who need GIS data for a project.","Info: Items cataloged from the Minnesota Geospatial Commons may have multiple layers, formats, or external web applications that are not represented in the BTAA Geoportal record. Use the ""Visit Source"" button found on each page to find complete information and access links.",,,Minnesota Department of Natural Resources|Minnesota Geospatial Information Office|Metropolitan Council of the Twin Cities|Minnesota Pollution Control Agency|Minnesota Department of Agriculture,,Websites,Data portals,State government records|County government records|Intergovernment records,,State agencies geospatial data,eng,,,Continually updated resource,,,,Minnesota,"-97.24,43.5,-89.48,49.38","POLYGON((-97.24 49.38, -89.48 49.38, -89.48 43.5, -97.24 43.5, -97.24 49.38))","46.44,-93.36",,,,,,,published,CKAN,https://gisdata.mn.gov/api/3/action/package_search,CKAN API,true,2026-03-16,Automated retrieval,Monthly,py_mncommons_ckan,2021-04-26 12:02:52 -0500,2026-03-29 14:27:48 -0500,,,,,,ba5cc745-21c5-4ae9-954b-72dd8db6815a,,,,,,,,,,Public,,,,,05a-01,https://gisdata.mn.gov/,,05a-01,,,py_mncommons_ckan,1
Harvest record for ArcGIS Online at the University of Minnesota,Harvest record - temporary,Series,draft,ArcGIS Online,https://umn.maps.arcgis.com/home/search.html?restrict=false&sortField=relevance&sortOrder=desc&searchTerm=owner%3A%22University_of_Minnesota%22#content,HTML,true,2025-08-24,Automated retrieval,Annual,py_arcgis_online,Public,true,harvest_05d-07,05d-07,05d-07,ogm,,2026-08-24,Upcoming,147,ArcGIS Online at the University of Minnesota,,Geospatial web services created by the University of Minnesota's U-Spatial,,U-Spatial,,University of Minnesota,University of Minnesota,Websites,Data portals,,,,eng,,,,,,,,"179.000,-75.000,-179.000,85.000","POLYGON((179.000 85.000, -179.000 85.000, -179.000 -75.000, 179.000 -75.000, 179.000 85.000))","5.0,0.0",,,,,,,published,ArcGIS Online,https://umn.maps.arcgis.com/home/search.html?restrict=false&sortField=relevance&sortOrder=desc&searchTerm=owner%3A%22University_of_Minnesota%22#content,HTML,true,2025-08-24,Automated retrieval,Annual,py_arcgis_online,2022-01-20 16:42:40 -0600,2026-03-29 15:10:44 -0500,,,,,,,,,,,,,,,,Public,,,,,05d-07,https://umn.maps.arcgis.com,,05d-07,ogm,,py_arcgis_online,1
Harvest record for ERDDAP,Harvest record - temporary,Series,draft,Custom HTML/JS,https://hfr.marine.rutgers.edu/erddap/info/index.csv,CSV endpoint,true,2025-09-22,Automated retrieval,Annual,template_csv,Public,true,harvest_14d-02,14d-02,14d-02,ogm,"Updated from https://hfr.marine.rutgers.edu/erddap/index.html September 22, 2025",2026-09-22,Upcoming,176,ERDDAP,,"ERDDAP is a data server that gives you a simple, consistent way to download subsets of scientific datasets in common file formats and make graphs and maps. This particular ERDDAP installation has oceanographic data (for example, data from satellites and buoys).",,United States. National Oceanic and Atmospheric Administration,http://id.worldcat.org/fast/529308,United States. National Oceanic and Atmospheric Administration,Rutgers University-New Brunswick,Websites,Digital repositories,,Oceans,,eng,,,continually updated resource,,,,United States|New Jersey,,,,,,,,,,published,Custom HTML/JS,https://hfr.marine.rutgers.edu/erddap/info/index.csv,CSV endpoint,true,2025-09-22,Automated retrieval,Annual,template_csv,2022-11-01 10:15:36 -0500,2026-03-13 10:55:16 -0500,,,,,,,,,,,,,,,,Public,,,,,14d-02,https://hfr.marine.rutgers.edu/erddap/index.html,,14d-02,ogm,"Updated from https://hfr.marine.rutgers.edu/erddap/index.html September 22, 2025",template_csv,1
Indiana Historic Maps,"Indiana Historic Maps provides images of a small portion of maps that focus on Indiana. The majority of this collection focuses on maps produced prior to 1923 unless known to be in the public domain as state or federal documents. In addition, Indiana University Bloomington holds an outstanding collection of print maps by and about geographic areas covering the state of Indiana. Most well known of these are the Sanborn Fire Insurance maps which have been digitized through 1923 and now available at: https://libraries.indiana.edu/union-list-sanborn-maps. In addition we own many maps produced by Indiana State government agencies including state and county highway maps, IGS geologic maps and DNR park maps; U.S. Federal agencies such as the USGS topographic maps, Congressional survey maps and AMS maps from the 1940s; as well as privately produced maps for the state but also cities and counties.",Series,draft,Samvera Hyrax,,,true,,Mediated deposit,,S01_csv,Public,,01d-01,https://webapp1.dlib.indiana.edu/images/splash.htm?scope=IUBMaps,01d-01,,,,No Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S01_csv,0
Russian Military Topographic Map Collection,"The bulk of Indiana University's Russian Military Topographic Map Collection is made up of the Soviet Red Army topographic maps, which were produced for defense and economic planning. This collection came to Indiana University from the duplicate map room of the Library of Congress Map Collection in the early 1990s. These maps cover not only parts of Russia and Eastern Europe, but extend as far north as Scandinavia, as far west as Germany and the Netherlands, and as far south as Iran.",Series,draft,Samvera Hyrax,,,true,,Mediated deposit,,S01_csv,Public,,01d-03,https://digitalcollections.iu.edu/collections/n8710x07k,01d-03,,,,No Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S01_csv,0
Harvest record for Hoosier Resilience Index: Indiana,Harvest record - temporary,Series,draft,ArcGIS Online,,,true,2021-10-21,Automated retrieval,Irregular,py_arcgis_online,Public,true,harvest_01d-04,01d-04,01d-04,,,,No Schedule,,Hoosier Resilience Index: Indiana,,"Interactive maps and charts for exploring statewide and county-by-county extreme heat, extreme precipitation, and floodplain land use data",,Environmental Resilience Institute,,Indiana University,Indiana University,Websites,Interactive resources,Universities and colleges--Research institutes,Environment|Climate,,eng,,,Continually updated resource,,,,Indiana,"-88.100,37.772,-84.785,41.761","POLYGON((-88.100 41.761, -84.785 41.761, -84.785 37.772, -88.100 37.772, -88.100 41.761))","39.7665,-86.4425",,,,,,,published,ArcGIS Online,,Manual,true,2021-10-21,Automated retrieval,Irregular,py_arcgis_online,2021-07-23 09:43:34 -0500,2026-03-29 12:57:56 -0500,,,,,,b0153110-e455-4ced-9114-9b13250a7093,,,,,,,,,,Public,,,,,01d-04,https://hri.eri.iu.edu/index.html,,01d-04,,,py_arcgis_online,1
Harvest record for Michigan State University Libraries Maps,Harvest record - temporary,Series,draft,HTML/JS,https://d.lib.msu.edu/oai,OAI-PMH,true,2021-04-27,Automated retrieval,Irregular,py_mods,Public,true,harvest_06d-01,06d-01,06d-01,ogm,,,No Schedule,,Michigan State University Libraries Maps,,Maps from the Michigan State University Map Library.,,Michigan State University,,,Michigan State University,Websites,Digital repositories,Map collections,,,eng,,,1656-1933,,1656,1656-1933,Michigan|Africa|World,"-180.000,-90.000,180.000,90.000","ENVELOPE(-180,180,90,-90)","0.0,0.0",,,,,,,published,HTML/JS,https://d.lib.msu.edu/oai,OAI-PMH,true,2021-04-27,Automated retrieval,Irregular,py_mods,2021-04-27 13:49:59 -0500,2026-03-29 17:30:28 -0500,,,,,,64bd8c4c-8e60-4956-b43d-bdc3f93db488,,,,,,,,,,Public,,,,,06d-01,https://d.lib.msu.edu/maps,,06d-01,ogm,,py_mods,1
Harvest record for 17d-01 UW Digital Collections Skinner Maps,"Harvest record

""Skinner (G. William) Map Collection"" with setSpec ""skinner"".",Series,draft,CONTENTdm,https://cdm16786.contentdm.oclc.org/oai/oai.php,OAI-PMH,true,,Automated retrieval,Irregular,py_oai_qdc,Restricted,,harvest_17d-01_skinner,,17d-01,,,,No Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,py_oai_qdc,0
Aerial Stereograms,"The University of Illinois at Urbana-Champaign Committee on Aerial Photography began to prepare a set of aerial stereogram photographs to support instruction in aerial photography interpretation in 1959. The stereograms were created primarily from United States government photography. Source image dates range between 1936 and 1970.|A stereogram is usually a “3D” picture hidden within a picture; they often appear in Sunday newspaper comic strip supplements. Aerial stereograms are created from pairs of aerial photographs that show the same location but from slightly different angles. By viewing the photo pairs through a stereoscope, the brain can be tricked into seeing or perceiving an impression of heights and depths.|The aerial stereograms in the Committee on Aerial Photography collection show a wide variety of features, both natural and man-made, throughout the United States. Brief descriptions of each stereogram are available in a separately-published catalog, “University of Illinois Catalog of Stereogram Aerial Photographs.” The catalog is included in the scanned collection.|Instructors are encouraged to download and print the images for classroom or laboratory instructional use.|Please contact the Map Library with questions regarding reproduction for publication via e-mail (http://www.library.illinois.edu/mailform/mail.php?emailcode=mapandgeog) or by calling 217-333-0827.",Series,draft,Blacklight,tbd,OAI-PMH,true,,Automated retrieval,As Needed,py_oaipmh,Public,,02d-01-003,https://digital.library.illinois.edu/collections/8d8fb3d0-41f8-0137-6c50-02d0d7bfd6e4-6,02d-03,,,,No Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,py_oaipmh,0
Harvest record for Digital Collections at the University of Illinois at Urbana-Champaign Library,Harvest record - temporary,Series,draft,Blacklight,https://digital.library.illinois.edu/oai-pmh/idhh,OAI-PMH,true,2021-04-27,Automated retrieval,Irregular,py_oaipmh,Public,true,harvest_02d-01,02d-01,02d-01,ogm,,,No Schedule,,Digital Collections at the University of Illinois at Urbana-Champaign Library,,,,University of Illinois Urbana-Champaign,,,University of Illinois Urbana-Champaign,Websites,Digital repositories,Map collections,,,eng,,,,,,,,"-180.000,-90.000,180.000,90.000","ENVELOPE(-180,180,90,-90)","0.0,0.0",,,,,,,published,Blacklight,https://digital.library.illinois.edu/oai-pmh/idhh,OAI-PMH,true,2021-04-27,Automated retrieval,Irregular,py_oaipmh,2021-04-27 13:50:03 -0500,2026-03-29 13:41:10 -0500,,,,,,64bd8c4c-8e60-4956-b43d-bdc3f93db488,,,,,,,,,,Public,,,,,02d-01,https://digital.library.illinois.edu,,02d-01,ogm,,py_oaipmh,1
Harvest record for Maps of New Jersey,Harvest record - temporary,Series,draft,Drupal,https://rucore.libraries.rutgers.edu/api/dpla-oai-pmh/?settype=portal&set=2Pp7Cy4Bs,OAI-PMH,true,2022-08-17,Automated retrieval,Irregular,py_oaipmh,Public,true,harvest_14d-01,14d-01,14d-01,ogm,,,No Schedule,,Maps of New Jersey,,"The Maps of New Jersey portal charts over 300 years of the state’s development from multiple perspectives: geographic, geologic, political, environmental, historical. This “virtual collection” of maps is an aggregation of cartographic materials drawn from multiple collections within RUcore – The Rutgers University Community Repository.",,Rutgers University-New Brunswick,,,Rutgers University-New Brunswick,Websites,Digital repositories,Map collections,,,eng,,,,,,,New Jersey,"-75.563,38.791,-73.894,41.357","POLYGON((-75.563 41.357, -73.894 41.357, -73.894 38.791, -75.563 38.791, -75.563 41.357))","40.074,-74.7285",,,,,,,published,Drupal,https://rucore.libraries.rutgers.edu/api/dpla-oai-pmh/?settype=portal&set=2Pp7Cy4Bs,OAI-PMH,true,2022-08-17,Automated retrieval,Irregular,py_oaipmh,2022-08-17 09:54:16 -0500,2026-03-13 10:55:28 -0500,,,,,,64bd8c4c-8e60-4956-b43d-bdc3f93db488,,,,,,,,,,Public,,,,,14d-01,https://collections.libraries.rutgers.edu/njmaps,,14d-01,ogm,,py_oaipmh,1
Harvest record for Northwestern University Digital Collections,Harvest record - temporary,Series,draft,NextJS,https://api.dc.library.northwestern.edu/api/v2/oai,OAI-PMH,true,2024-02-28,Automated retrieval,Irregular,py_oaipmh,Public,true,harvest_15d-01,15d-01,15d-01,ogm,,,No Schedule,,Northwestern University Digital Collections,,"Digital resources from the Northwestern University Library collections – including letters, photographs, diaries, maps, and audiovisual materials - as well as licensed art historical images for teaching and reference.",,Northwestern University,,,Northwestern University,Websites,Digital repositories,Map collections,,,eng,,,,,,,,,,,,,,,,,published,NextJS,https://api.dc.library.northwestern.edu/api/v2/oai,OAI-PMH,true,2024-02-28,Automated retrieval,Irregular,py_oaipmh,2024-02-28 10:05:00 -0600,2026-03-13 10:55:32 -0500,,,,,,64bd8c4c-8e60-4956-b43d-bdc3f93db488,,,,,,,,,,Public,,,,,15d-01,https://dc.library.northwestern.edu,,15d-01,ogm,,py_oaipmh,1
Harvest record for University of Iowa Digital Library: Atlases and Maps,Harvest record - temporary,Series,draft,Islandora,https://digital.lib.uiowa.edu/oai2/oai.php?verb=ListRecords&metadataPrefix=mods&set=ui_dep,OAI-PMH,true,2025-09-16,Automated retrieval,Irregular,py_oaipmh,Public,true,harvest_03d-01,03d-01,03d-01,ogm,,,No Schedule,,University of Iowa Digital Library: Atlases and Maps,,,,University of Iowa,,,University of Iowa,Websites,Digital repositories,Map collections,,,,,,,,,,,,,,,,,,,,published,Islandora,https://digital.lib.uiowa.edu/oai2/oai.php?verb=ListRecords&metadataPrefix=mods&set=ui_dep,OAI-PMH,true,2025-09-16,Automated retrieval,Irregular,py_oaipmh,2023-12-02 19:21:37 -0600,2026-03-29 14:06:41 -0500,,,,,,64bd8c4c-8e60-4956-b43d-bdc3f93db488,,,,,,,,,,Public,,,,,03d-01,https://digital.lib.uiowa.edu/islandora/object/ui_root?sort=mods_titleInfo_title_ss%20asc&islandora_solr_search_navigation=0&f%5B0%5D=RELS_EXT_isMemberOfCollection_uri_ms%3A%22info%5C%3Afedora%5C/ui%5C%3Amaps%22,,03d-01,ogm,,py_oaipmh,1
Harvest record for University of Maryland Digital Collections,Harvest record - temporary,Series,draft,PHP,http://digital.lib.umd.edu/oaicat/OAIHandler,OAI-PMH,true,2021-04-27,Automated retrieval,Irregular,py_oaipmh,Public,true,harvest_04d-01,04d-01,04d-01,ogm,,,No Schedule,,University of Maryland Digital Collections,,"The Maryland Map collection is a comprehensive collection of more than 2,500 maps depicting Maryland, the Chesapeake Bay, and the surrounding region from 1590 to the present. The collection contains many rare early maps of Maryland as well as more modern maps produced by state and local governments.",,University of Maryland,,,University of Maryland,Websites,Digital repositories,Map collections,,,eng,,,,,,,Maryland,"-79.487,37.887,-74.985,39.723","POLYGON((-79.487 39.723, -74.985 39.723, -74.985 37.887, -79.487 37.887, -79.487 39.723))","38.805,-77.23599999999999",,,,,,,published,PHP,http://digital.lib.umd.edu/oaicat/OAIHandler,OAI-PMH,true,2021-04-27,Automated retrieval,Irregular,py_oaipmh,2021-04-27 13:49:59 -0500,2026-03-29 14:22:16 -0500,,,,,,64bd8c4c-8e60-4956-b43d-bdc3f93db488,,,,,,,,,,Public,,,,,04d-01,https://www.lib.umd.edu/mdmap/?pid=umd:57340,,04d-01,ogm,,py_oaipmh,1
Historical Maps Online: University of Illinois,"The Historical Maps Online collection contains images of maps charting the last 400 years of historical development in Illinois and the Northwest Territory, including historic topographic maps of Illinois. The collection also contains early large-scale topographic quadrangles published by the United States Geological Survey in the late nineteenth and early twentieth centuries.",Series,draft,Blacklight,https://digital.library.illinois.edu/oai-pmh/idhh?verb=ListRecords&set=810d3fa0-e3fb-012f-c5b6-0019b9e633c5-a&metadataPrefix=oai_idhh,OAI-PMH,true,,Automated retrieval,As Needed,py_oaipmh,Public,,02d-01-001,https://digital.library.illinois.edu/collections/810d3fa0-e3fb-012f-c5b6-0019b9e633c5-a,02d-01,,,,No Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,py_oaipmh,0
Harvest record for American Geographical Society Library – UWM Libraries,Harvest record - temporary,Series,draft,GeoBlacklight,,GitHub,true,,Automated retrieval,Irregular,py_ogm_aardvark,Public,true,harvest_20d-0006,,20d-0006,,,,No Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,py_ogm_aardvark,0
Harvest record for Geospatial Information Repository (CUGIR),Harvest record - temporary,Series,draft,GeoBlacklight,https://github.com/OpenGeoMetadata/edu.cornell,,true,2025-08-23,Automated retrieval,Irregular,py_ogm_aardvark,Public,true,harvest_20d-0004,20d-0004,20d-0004,,,,No Schedule,,Geospatial Information Repository (CUGIR),,"CUGIR, the Cornell University Geospatial Information Repository, provides free and open access to geospatial data for New York State, as well as worldwide geospatial data created by researchers at Cornell. Our collections have traditionally focused on data relevant to agriculture, ecology, natural resources, and human-environment interactions. Subjects such as landforms and topography, soils, hydrology, environmental hazards, agricultural activities, wildlife and natural resource management are appropriate for inclusion in the CUGIR catalog. All data files are cataloged in accordance with FGDC standards and made available in widely used geospatial data formats.",,Cornell University,,,Cornell,Websites,Digital repositories,,,,eng,,,,,,,New York (State),"-79.762,40.477,-71.791,45.016","POLYGON((-79.762 45.016, -71.791 45.016, -71.791 40.477, -79.762 40.477, -79.762 45.016))","42.7465,-75.7765",,,,,,,published,GeoBlacklight,https://github.com/OpenGeoMetadata/edu.cornell,,true,2025-08-23,Automated retrieval,Irregular,py_ogm_aardvark,2023-03-13 21:26:47 -0500,2026-03-13 10:55:19 -0500,,,,,,dc8c18df-7d64-4ff4-a754-d18d0891187d,,,,,,,,,,Public,,,,,20d-0004,https://cugir.library.cornell.edu,,20d-0004,,,py_ogm_aardvark,1
Harvest record for Harvard Geospatial Library,Harvest record - temporary,Series,draft,GeoBlacklight,https://github.com/OpenGeoMetadata/edu.harvard,,true,2025-08-23,Automated retrieval,Irregular,py_ogm_aardvark,Public,true,harvest_20d-0001,20d-0001,20d-0001,,,,No Schedule,,Harvard Geospatial Library,,,,Harvard Library,,,Harvard,Websites,Digital repositories,,,,eng,,,,,,,,,,,,,,,,,published,GeoBlacklight,https://github.com/OpenGeoMetadata/edu.harvard,,true,2025-08-23,Automated retrieval,Irregular,py_ogm_aardvark,2022-03-04 16:15:17 -0600,2026-03-13 10:55:21 -0500,,,,,,64bd8c4c-8e60-4956-b43d-bdc3f93db488,,,,,,,,,,Public,,,,,20d-0001,https://hgl.harvard.edu,,20d-0001,,,py_ogm_aardvark,1
